景点id,景点名称,景点区域,景点级别,景点热度,景点简介,景点经纬度,景点地址
249012337,日本环球影城,大阪府·大阪,,热度 1.0,首座不位于美国本土的环球影城,"135.432326,34.665511",日本大阪环球影城
3174613401,东京迪士尼乐园,东京,,热度 0.0,充满各种动漫主题元素的乐园,"139.884012,35.625118","日本东京都千叶县浦安市舞滨;1-1 Maihama, Urayasu, Chiba Prefecture"
380777865,登富士山,东京·富士山,,热度 0.0,攀登日本富士山,"138.7102681,35.3605537",日本  富士山  
2653469091,东京塔,东京,,热度 1.0,夜间亮灯无比梦幻，360度展望东京全城,"139.745484,35.65857",亚洲-日本-东京
3677541296,三鹰之森吉卜力美术馆,东京·三鹰市,,热度 0.0,动漫大师宫崎骏的美术殿堂,"139.570424,35.69626","东京都三鹰市下连雀1丁目1-83（都立井之头恩赐公园西园内）;1 Chome-1-83 Shimorenjaku, Mitaka, Tokyo"
1338832387,东京地铁乘车券,东京,,热度 0.0,无论去哪儿都可以利用本票券轻松抵达,"139.7776499,35.5493975",日本东京
2828598027,日本Suica卡,东京,,热度 0.0,一个多功能的卡，兼有电子钱包的功能,"139.7776499,35.5493975",日本东京
1571606213,古宇利大桥,冲绳县·冲绳,,热度 0.0,在桥上欣赏各种美景,"128.0149477,26.6861672",日本沖縄県国頭郡今帰仁村字古宇利
2087450706,海贼王主题乐园,东京,,热度 0.0,喜欢海贼王的朋友一定不能错过的主题乐园,"139.8085117,35.7100627",日本东京都港区芝公园4丁目2-8
5967739,天空之树,东京,,热度 0.0,鸟瞰东京壮丽景色,"104.1644469,33.1524303",日本东京都墨田区
3051049691,大阪海游馆,大阪府·大阪,,热度 0.0,有着环太平洋不同地域的生态环境,"135.428925,34.654488",大阪府大阪市港区海岸通1－1－10
2824409809,山中湖,东京·富士山,,热度 0.0,感受自然的神奇奥妙,"138.86092,35.410645",日本  富士山  
1076633892,六本木新城,东京,,热度 0.0,东京城市展望，城市景观尽收眼底,"139.729248,35.659496",东京都港区六本木6-10-1
319198921,冲绳美丽海水族馆,冲绳县·冲绳,,热度 0.0,体验浩翰的海洋世界之美,"127.8757433,26.694158",冲绳国头郡本部町字石川424番地(海洋博公园内)
3231219984,哈利波特乐园,大阪府·大阪,,热度 0.0,魔法世界的大门顿时出现眼前,"135.4301495,34.665442",大阪市此花区桜島2丁目1-33
2236967667,吉隆坡塔,吉隆坡,,热度 0.0,俯瞰市景的绝佳地点,"101.7015546,3.1528442",MenaraKualaLumpurNo.2JalanPunchakOffJalanP.Ramlee50250KualaLumpurMalaysia
2237862672,双威水上乐园,吉隆坡,,热度 0.0,大人的忘忧天地，孩子们的童话世界,"101.6026493,3.0692108","Sunway Lagoon Sdn Bhd (211311-A) 3, Jalan PJS 11/11, Bandar Sunway, 47500 Selangor Darul Ehsan, Malaysia"
1538154407,马来西亚乐高乐园,柔佛,,热度 0.0,享受美好的亲子时光,"103.627716,1.58183",马来西亚柔佛
3580826153,玩转沙巴,沙巴·亚庇,,热度 0.0,天造地设的大自然景物宝库,"115.0597902,5.7352467","L1-38, Star City North Complex, 1st Floor, Jalan Asia City, 88000 Kota Kinabalu, Sabah, Malaysia."
2643588824,吉隆坡水族馆,吉隆坡,,热度 0.0,在“触摸池”内近距离接触海星和竹鲨,"101.713203,3.153811","Concourse Level, Kuala Lumpur Convention Centre"
1058535162,仙本那小镇,仙本那,,热度 0.0,一座漂浮在水上的天堂,"118.6,4.45",
4213175694,沙巴亚庇美人鱼岛,沙巴,,热度 0.0,让海风温柔的抚摸您的皮肤和吹乱您的秀发,"116.05268967793,5.981300512680999",马来西亚沙巴古打毛律镇(Kota Belud)外海
3271713635,仙本那群岛公园,仙本那,,热度 0.0,关于仙本那潛水虎度假村从沙巴东海岸仙本那镇离度假村只需10分钟车程，离仙本那海军基地50米。提供的住宿选择包括小木屋，长,"118.7555081,4.6239509",马来西亚  仙本那  
2654156644,皇家山,吉隆坡,,热度 0.0,雪兰莪苏丹的王城,"101.248658,3.34095","45000 Kuala Selangor, Selangor，malaysia"
3782848123,沙巴仙本那Scuba Tiger,沙巴,,热度 0.0,关于仙本那潛水虎度假村从沙巴东海岸仙本那镇离度假村只需10分钟车程，离仙本那海军基地50米。提供的住宿选择包括小木屋，长,"118.6333093,4.452911",马来西亚沙巴仙本那
3073485498,Kawa红树林,山打根省·山打根,,热度 0.0,马来西亚沙巴山打根,"117.7655669,5.7834645",马来西亚沙巴山打根
1391622156,马布岛,仙本那,,热度 0.0,海底摄影师梦寐以求的天堂,"118.631094,4.247128","Sabah, Malaysia"
3907512398,升旗山,槟城,,热度 0.0,以一眼望尽山脚下的槟城市区,"100.264478,5.4333333","PerbadananBukitBendera,AyerItam,11500PulauPinang"
